record_id,period,provider_code,provider_name,specialty_code,specialty_name,region_code,region_name,total_waiting,within_18_weeks,over_18_weeks,over_52_weeks,median_wait_weeks,avg_wait_weeks
67,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_160,Neurosurgery,Y59,Midlands,3280,2339,941,128,7.0,8.1
68,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_170,Plastic Surgery,Y59,Midlands,1977,1566,411,26,17.4,22.1
69,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_180,Cardiothoracic Surgery,Y59,Midlands,2657,2206,451,30,15.2,20.0
70,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_190,Gynaecology,Y59,Midlands,1003,779,224,43,8.9,10.4
71,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_320,Cardiology,Y59,Midlands,860,745,115,8,19.6,25.7
72,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_330,Dermatology,Y59,Midlands,1200,963,237,19,18.4,20.4
73,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_340,Respiratory Medicine,Y59,Midlands,2375,2036,339,22,10.4,13.8
74,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_350,Gastroenterology,Y59,Midlands,1769,1458,311,48,7.4,9.7
75,2021-01-01,RQ3,Birmingham Women's and Children's NHS FT,C_360,Rheumatology,Y59,Midlands,1518,1166,352,52,8.8,10.3
76,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_100,General Surgery,Y59,Midlands,1938,1350,588,36,9.0,12.6
77,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_110,Urology,Y59,Midlands,1248,833,415,95,16.9,24.1
78,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_120,Trauma & Orthopaedics,Y59,Midlands,953,554,399,77,8.4,10.7
79,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_130,Ear Nose & Throat,Y59,Midlands,1399,837,562,87,9.1,12.8
80,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_140,Ophthalmology,Y59,Midlands,1603,1070,533,51,20.5,22.6
81,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_150,Oral Surgery,Y59,Midlands,1619,1041,578,137,22.4,29.4
82,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_160,Neurosurgery,Y59,Midlands,453,267,186,10,9.2,12.2
83,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_170,Plastic Surgery,Y59,Midlands,3265,2212,1053,250,19.0,23.5
84,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_180,Cardiothoracic Surgery,Y59,Midlands,481,355,126,23,24.8,31.3
85,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_190,Gynaecology,Y59,Midlands,1689,1090,599,121,22.7,29.7
86,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_320,Cardiology,Y59,Midlands,3461,2536,925,67,14.8,20.7
87,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_330,Dermatology,Y59,Midlands,1243,785,458,52,9.7,10.5
88,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_340,Respiratory Medicine,Y59,Midlands,1145,821,324,29,19.9,24.0
89,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_350,Gastroenterology,Y59,Midlands,1222,850,372,24,15.2,17.2
90,2021-01-01,RJE,University Hospitals of North Midlands NHS Trust,C_360,Rheumatology,Y59,Midlands,3281,2025,1256,299,22.2,27.4
91,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_100,General Surgery,Y59,Midlands,3240,2331,909,103,27.2,31.9
92,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_110,Urology,Y59,Midlands,583,416,167,38,13.2,17.6
93,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_120,Trauma & Orthopaedics,Y59,Midlands,1295,799,496,69,18.8,19.8
94,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_130,Ear Nose & Throat,Y59,Midlands,231,144,87,5,7.3,10.0
95,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_140,Ophthalmology,Y59,Midlands,1884,1255,629,142,20.1,23.8
96,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_150,Oral Surgery,Y59,Midlands,3424,2236,1188,135,11.1,12.9
97,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_160,Neurosurgery,Y59,Midlands,1910,1181,729,157,21.7,29.1
98,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_170,Plastic Surgery,Y59,Midlands,3319,2257,1062,199,28.0,32.0
99,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_180,Cardiothoracic Surgery,Y59,Midlands,906,668,238,47,12.5,17.3
100,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_190,Gynaecology,Y59,Midlands,2306,1540,766,84,25.0,28.4
101,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_320,Cardiology,Y59,Midlands,3130,2401,729,54,23.6,26.0
102,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_330,Dermatology,Y59,Midlands,1752,1186,566,42,12.3,15.0
103,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_340,Respiratory Medicine,Y59,Midlands,3302,2518,784,117,21.3,27.9
104,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_350,Gastroenterology,Y59,Midlands,905,639,266,37,9.1,11.6
105,2021-01-01,RR1,Heart of England NHS Foundation Trust,C_360,Rheumatology,Y59,Midlands,2208,1412,796,76,13.7,16.5
106,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_100,General Surgery,Y59,Midlands,1931,1463,468,96,17.0,21.7
107,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_110,Urology,Y59,Midlands,1786,1431,355,58,8.1,10.0
108,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_120,Trauma & Orthopaedics,Y59,Midlands,586,398,188,12,11.9,12.7
109,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_130,Ear Nose & Throat,Y59,Midlands,1373,1017,356,31,8.8,11.5
110,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_140,Ophthalmology,Y59,Midlands,2423,1775,648,120,10.8,12.6
111,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_150,Oral Surgery,Y59,Midlands,1042,774,268,29,11.4,16.0
112,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_160,Neurosurgery,Y59,Midlands,1174,848,326,47,17.2,22.8
113,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_170,Plastic Surgery,Y59,Midlands,3029,2278,751,86,28.0,29.9
114,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_180,Cardiothoracic Surgery,Y59,Midlands,1004,862,142,30,19.7,23.1
115,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_190,Gynaecology,Y59,Midlands,820,629,191,32,18.9,21.4
116,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_320,Cardiology,Y59,Midlands,2336,1973,363,40,7.1,8.4
117,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_330,Dermatology,Y59,Midlands,1936,1439,497,29,19.5,20.8
118,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_340,Respiratory Medicine,Y59,Midlands,1636,1337,299,25,14.9,15.9
119,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_350,Gastroenterology,Y59,Midlands,3126,2518,608,97,8.2,8.8
120,2021-01-01,RX1,Nottingham University Hospitals NHS Trust,C_360,Rheumatology,Y59,Midlands,2753,2008,745,60,8.8,12.2
121,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_100,General Surgery,Y56,North East & Yorkshire,2378,1742,636,101,14.5,16.9
122,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_110,Urology,Y56,North East & Yorkshire,1210,937,273,19,11.5,12.9
123,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_120,Trauma & Orthopaedics,Y56,North East & Yorkshire,1222,766,456,84,23.8,30.1
124,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_130,Ear Nose & Throat,Y56,North East & Yorkshire,1120,759,361,60,21.2,22.5
125,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_140,Ophthalmology,Y56,North East & Yorkshire,1281,946,335,44,9.6,11.1
126,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_150,Oral Surgery,Y56,North East & Yorkshire,681,509,172,18,22.2,24.8
127,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_160,Neurosurgery,Y56,North East & Yorkshire,260,182,78,12,15.3,20.8
128,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_170,Plastic Surgery,Y56,North East & Yorkshire,2412,1770,642,48,13.6,15.3
129,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_180,Cardiothoracic Surgery,Y56,North East & Yorkshire,1565,1212,353,19,16.2,19.8
130,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_190,Gynaecology,Y56,North East & Yorkshire,1385,960,425,41,14.3,20.2
131,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_320,Cardiology,Y56,North East & Yorkshire,3393,2668,725,46,15.5,16.5
132,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_330,Dermatology,Y56,North East & Yorkshire,1605,1215,390,80,14.8,20.9
133,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_340,Respiratory Medicine,Y56,North East & Yorkshire,1035,776,259,50,24.7,30.4
134,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_350,Gastroenterology,Y56,North East & Yorkshire,3271,2511,760,107,16.3,23.3
135,2021-01-01,RP5,Doncaster and Bassetlaw Teaching Hospitals NHS FT,C_360,Rheumatology,Y56,North East & Yorkshire,2636,1879,757,71,25.5,31.6
136,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_100,General Surgery,Y56,North East & Yorkshire,3458,2968,490,78,12.7,14.9
137,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_110,Urology,Y56,North East & Yorkshire,3108,2677,431,91,13.0,15.2
138,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_120,Trauma & Orthopaedics,Y56,North East & Yorkshire,2482,1877,605,77,15.0,16.9
139,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_130,Ear Nose & Throat,Y56,North East & Yorkshire,1314,1052,262,43,18.2,24.7
140,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_140,Ophthalmology,Y56,North East & Yorkshire,3375,2802,573,66,23.2,27.8
141,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_150,Oral Surgery,Y56,North East & Yorkshire,1849,1474,375,90,11.8,14.3
142,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_160,Neurosurgery,Y56,North East & Yorkshire,475,367,108,13,17.0,17.9
143,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_170,Plastic Surgery,Y56,North East & Yorkshire,1392,1200,192,28,19.1,21.4
144,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_180,Cardiothoracic Surgery,Y56,North East & Yorkshire,1174,1017,157,15,27.3,29.7
145,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_190,Gynaecology,Y56,North East & Yorkshire,222,183,39,3,22.2,28.7
146,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_320,Cardiology,Y56,North East & Yorkshire,1618,1414,204,26,23.2,29.2
147,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_330,Dermatology,Y56,North East & Yorkshire,787,633,154,24,17.0,19.2
148,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_340,Respiratory Medicine,Y56,North East & Yorkshire,1454,1270,184,36,10.4,12.3
149,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_350,Gastroenterology,Y56,North East & Yorkshire,347,300,47,7,18.0,21.3
150,2021-01-01,RXF,Mid Yorkshire Hospitals NHS Trust,C_360,Rheumatology,Y56,North East & Yorkshire,2063,1677,386,35,9.4,10.8
151,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_100,General Surgery,Y56,North East & Yorkshire,3316,2508,808,108,14.7,15.6
152,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_110,Urology,Y56,North East & Yorkshire,516,386,130,12,17.6,23.1
153,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_120,Trauma & Orthopaedics,Y56,North East & Yorkshire,791,527,264,64,23.6,25.1
154,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_130,Ear Nose & Throat,Y56,North East & Yorkshire,480,317,163,14,18.3,25.4
155,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_140,Ophthalmology,Y56,North East & Yorkshire,1031,717,314,61,11.2,14.3
156,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_150,Oral Surgery,Y56,North East & Yorkshire,897,608,289,52,25.7,31.8
157,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_160,Neurosurgery,Y56,North East & Yorkshire,1929,1330,599,68,19.1,25.7
158,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_170,Plastic Surgery,Y56,North East & Yorkshire,2121,1596,525,85,18.1,24.6
159,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_180,Cardiothoracic Surgery,Y56,North East & Yorkshire,1968,1547,421,60,15.7,18.9
160,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_190,Gynaecology,Y56,North East & Yorkshire,1378,982,396,62,20.4,22.8
161,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_320,Cardiology,Y56,North East & Yorkshire,2917,2264,653,92,9.0,10.9
162,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_330,Dermatology,Y56,North East & Yorkshire,1437,1020,417,89,18.7,25.5
163,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_340,Respiratory Medicine,Y56,North East & Yorkshire,2393,1877,516,70,18.7,21.0
164,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_350,Gastroenterology,Y56,North East & Yorkshire,612,470,142,10,19.0,25.9
165,2021-01-01,RTD,The Newcastle upon Tyne Hospitals NHS FT,C_360,Rheumatology,Y56,North East & Yorkshire,3299,2212,1087,109,15.4,16.3
166,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_100,General Surgery,Y62,South East,3291,2431,860,77,11.8,12.6
167,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_110,Urology,Y62,South East,1023,768,255,39,6.7,8.2
168,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_120,Trauma & Orthopaedics,Y62,South East,1652,1023,629,75,22.5,29.6
169,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_130,Ear Nose & Throat,Y62,South East,2000,1264,736,52,15.6,22.0
170,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_140,Ophthalmology,Y62,South East,1024,720,304,63,15.8,17.6
171,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_150,Oral Surgery,Y62,South East,1660,1174,486,57,20.4,25.0
172,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_160,Neurosurgery,Y62,South East,3374,2228,1146,205,16.6,23.6
173,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_170,Plastic Surgery,Y62,South East,2345,1601,744,127,15.1,16.0
174,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_180,Cardiothoracic Surgery,Y62,South East,1889,1403,486,93,26.3,30.2
175,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_190,Gynaecology,Y62,South East,164,117,47,3,14.1,16.6
176,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_320,Cardiology,Y62,South East,1460,1126,334,78,27.5,29.5
177,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_330,Dermatology,Y62,South East,835,573,262,44,10.5,13.5
178,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_340,Respiratory Medicine,Y62,South East,2355,1827,528,34,17.2,24.0
179,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_350,Gastroenterology,Y62,South East,978,690,288,20,13.5,17.3
180,2021-01-01,RVV,East Kent Hospitals University NHS FT,C_360,Rheumatology,Y62,South East,1155,755,400,24,8.5,11.2
181,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_100,General Surgery,Y62,South East,837,636,201,43,6.4,8.2
182,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_110,Urology,Y62,South East,1250,935,315,47,20.0,27.0
183,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_120,Trauma & Orthopaedics,Y62,South East,3361,2284,1077,242,6.1,8.5
184,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_130,Ear Nose & Throat,Y62,South East,1598,1085,513,73,7.3,9.4
185,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_140,Ophthalmology,Y62,South East,1210,869,341,33,21.6,30.2
186,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_150,Oral Surgery,Y62,South East,612,442,170,36,8.4,10.0
187,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_160,Neurosurgery,Y62,South East,2573,1716,857,160,12.4,15.6
188,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_170,Plastic Surgery,Y62,South East,2673,1966,707,153,22.0,29.0
189,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_180,Cardiothoracic Surgery,Y62,South East,3488,2940,548,83,13.8,14.7
190,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_190,Gynaecology,Y62,South East,1978,1503,475,113,22.6,29.3
191,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_320,Cardiology,Y62,South East,1045,814,231,51,28.1,31.3
192,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_330,Dermatology,Y62,South East,2417,1763,654,124,6.3,8.9
193,2021-01-01,RWF,Maidstone and Tunbridge Wells NHS Trust,C_340,Respiratory Medicine,Y62,South East,1941,1512,429,22,7.1,10.1
