order_id,supplier_id,supplier_name,supplier_tier,delivery_mode,product_category,warehouse,order_date,planned_delivery,actual_delivery,order_year,order_month,order_quarter,month_name,lead_time_days,delay_days,on_time_flag,qty_ordered,qty_received,qty_damaged,defect_rate_pct,unit_cost,order_value,complete_flag
PO-00011,S006,PrimeParts Inc.,Tier 1,Sea,Electronics,WH-North,2022-01-02,2022-01-15,2022-01-15,2022,1,Q1,Jan,13,0,1,1103,1103,0,0.0,227.66,251108.98,1
PO-00012,S005,Metro Distributors,Tier 2,Road,Packaging,WH-Central,2022-01-02,2022-01-06,2022-01-06,2022,1,Q1,Jan,4,0,1,339,339,0,0.0,20.67,7007.13,1
PO-00013,S004,Global Parts Ltd,Tier 1,Air,Components,WH-North,2022-01-02,2022-01-18,2022-01-18,2022,1,Q1,Jan,16,0,1,1911,1911,0,0.0,72.44,138432.84,1
PO-00014,S009,Eastside Components,Tier 2,Sea,Raw Materials,WH-West,2022-01-02,2022-01-14,2022-01-14,2022,1,Q1,Jan,12,0,1,1317,1317,0,0.0,144.68,190543.56,1
PO-00015,S009,Eastside Components,Tier 2,Sea,Textiles,WH-South,2022-01-03,2022-01-14,2022-01-14,2022,1,Q1,Jan,11,0,1,137,137,0,0.0,434.92,59584.04,1
PO-00016,S007,Swift Carriers,Tier 2,Road,Raw Materials,WH-West,2022-01-03,2022-01-22,2022-01-22,2022,1,Q1,Jan,19,0,1,1230,1230,0,0.0,346.64,426367.2,1
PO-00017,S004,Global Parts Ltd,Tier 1,Air,Electronics,WH-East,2022-01-03,2022-01-17,2022-01-17,2022,1,Q1,Jan,14,0,1,1855,1855,0,0.0,203.18,376898.9,1
PO-00018,S007,Swift Carriers,Tier 2,Road,Chemicals,WH-Central,2022-01-03,2022-01-16,2022-01-16,2022,1,Q1,Jan,13,0,1,375,375,0,0.0,159.05,59643.75,1
PO-00019,S003,Apex Supply Co.,Tier 2,Road,Finished Goods,WH-West,2022-01-03,2022-01-16,2022-01-16,2022,1,Q1,Jan,13,0,1,1113,1113,0,0.0,369.0,410697.0,1
PO-00020,S004,Global Parts Ltd,Tier 1,Air,Electronics,WH-East,2022-01-04,2022-01-11,2022-01-13,2022,1,Q1,Jan,7,2,0,1751,1751,0,0.0,369.72,647379.72,1
PO-00021,S005,Metro Distributors,Tier 2,Road,Components,WH-East,2022-01-04,2022-01-21,2022-01-21,2022,1,Q1,Jan,17,0,1,1029,1029,0,0.0,322.87,332233.23,1
PO-00022,S003,Apex Supply Co.,Tier 2,Road,Finished Goods,WH-South,2022-01-04,2022-01-17,2022-01-17,2022,1,Q1,Jan,13,0,1,1124,1124,0,0.0,28.52,32056.48,1
PO-00023,S002,BlueStar Freight,Tier 1,Rail,Components,WH-East,2022-01-04,2022-01-25,2022-01-25,2022,1,Q1,Jan,21,0,1,1472,1472,0,0.0,207.56,305528.32,1
PO-00024,S004,Global Parts Ltd,Tier 1,Air,Chemicals,WH-West,2022-01-04,2022-01-20,2022-01-20,2022,1,Q1,Jan,16,0,1,684,684,0,0.0,266.25,182115.0,1
PO-00025,S002,BlueStar Freight,Tier 1,Rail,Chemicals,WH-North,2022-01-04,2022-01-09,2022-01-09,2022,1,Q1,Jan,5,0,1,1655,1655,0,0.0,77.73,128643.15,1
PO-00026,S006,PrimeParts Inc.,Tier 1,Sea,Chemicals,WH-West,2022-01-05,2022-01-22,2022-01-22,2022,1,Q1,Jan,17,0,1,297,297,0,0.0,115.21,34217.37,1
PO-00027,S004,Global Parts Ltd,Tier 1,Air,Finished Goods,WH-West,2022-01-05,2022-01-17,2022-01-17,2022,1,Q1,Jan,12,0,1,719,719,0,0.0,497.34,357587.46,1
PO-00028,S006,PrimeParts Inc.,Tier 1,Sea,Textiles,WH-Central,2022-01-05,2022-01-14,2022-01-14,2022,1,Q1,Jan,9,0,1,683,683,0,0.0,47.24,32264.92,1
PO-00029,S009,Eastside Components,Tier 2,Sea,Raw Materials,WH-West,2022-01-05,2022-01-08,2022-01-08,2022,1,Q1,Jan,3,0,1,1664,1664,0,0.0,219.76,365680.64,1
PO-00030,S001,FastTrack Logistics,Tier 1,Road,Textiles,WH-Central,2022-01-05,2022-01-17,2022-01-17,2022,1,Q1,Jan,12,0,1,1759,1759,0,0.0,270.4,475633.6,1
PO-00031,S001,FastTrack Logistics,Tier 1,Road,Textiles,WH-South,2022-01-05,2022-01-18,2022-01-24,2022,1,Q1,Jan,13,6,0,663,663,0,0.0,495.85,328748.55,1
PO-00032,S009,Eastside Components,Tier 2,Sea,Spare Parts,WH-East,2022-01-05,2022-01-08,2022-01-08,2022,1,Q1,Jan,3,0,1,949,949,0,0.0,188.54,178924.46,1
PO-00033,S009,Eastside Components,Tier 2,Sea,Raw Materials,WH-South,2022-01-06,2022-01-17,2022-01-22,2022,1,Q1,Jan,11,5,0,1355,1355,0,0.0,235.68,319346.4,1
PO-00034,S003,Apex Supply Co.,Tier 2,Road,Raw Materials,WH-North,2022-01-06,2022-01-25,2022-01-25,2022,1,Q1,Jan,19,0,1,1616,1616,0,0.0,453.89,733486.24,1
PO-00035,S003,Apex Supply Co.,Tier 2,Road,Textiles,WH-South,2022-01-06,2022-01-17,2022-01-17,2022,1,Q1,Jan,11,0,1,498,498,0,0.0,251.67,125331.66,1
PO-00036,S004,Global Parts Ltd,Tier 1,Air,Electronics,WH-West,2022-01-06,2022-01-17,2022-01-17,2022,1,Q1,Jan,11,0,1,773,773,0,0.0,131.84,101912.32,1
PO-00037,S002,BlueStar Freight,Tier 1,Rail,Raw Materials,WH-East,2022-01-06,2022-01-20,2022-01-20,2022,1,Q1,Jan,14,0,1,1967,1967,0,0.0,243.26,478492.42,1
PO-00038,S009,Eastside Components,Tier 2,Sea,Packaging,WH-Central,2022-01-06,2022-01-16,2022-01-20,2022,1,Q1,Jan,10,4,0,965,965,0,0.0,245.56,236965.4,1
PO-00039,S010,Reliable Goods Co.,Tier 3,Road,Textiles,WH-South,2022-01-06,2022-01-24,2022-01-26,2022,1,Q1,Jan,18,2,0,83,83,0,0.0,238.33,19781.39,1
PO-00040,S003,Apex Supply Co.,Tier 2,Road,Chemicals,WH-South,2022-01-06,2022-01-16,2022-01-20,2022,1,Q1,Jan,10,4,0,1741,1741,0,0.0,265.26,461817.66,1
PO-00041,S003,Apex Supply Co.,Tier 2,Road,Raw Materials,WH-West,2022-01-07,2022-01-21,2022-01-21,2022,1,Q1,Jan,14,0,1,1739,1739,0,0.0,313.06,544411.34,1
PO-00042,S004,Global Parts Ltd,Tier 1,Air,Chemicals,WH-West,2022-01-07,2022-01-25,2022-01-25,2022,1,Q1,Jan,18,0,1,702,702,0,0.0,307.14,215612.28,1
PO-00043,S007,Swift Carriers,Tier 2,Road,Textiles,WH-South,2022-01-07,2022-01-10,2022-01-17,2022,1,Q1,Jan,3,7,0,390,390,0,0.0,134.89,52607.1,1
PO-00044,S001,FastTrack Logistics,Tier 1,Road,Textiles,WH-South,2022-01-07,2022-01-18,2022-01-18,2022,1,Q1,Jan,11,0,1,1943,1943,0,0.0,365.17,709525.31,1
PO-00045,S005,Metro Distributors,Tier 2,Road,Electronics,WH-East,2022-01-07,2022-01-28,2022-02-04,2022,1,Q1,Jan,21,7,0,382,382,0,0.0,223.23,85273.86,1
PO-00046,S007,Swift Carriers,Tier 2,Road,Chemicals,WH-East,2022-01-07,2022-01-15,2022-01-15,2022,1,Q1,Jan,8,0,1,1316,1278,38,2.89,151.78,199742.48,0
PO-00047,S009,Eastside Components,Tier 2,Sea,Components,WH-West,2022-01-07,2022-01-11,2022-01-11,2022,1,Q1,Jan,4,0,1,422,422,0,0.0,329.64,139108.08,1
PO-00048,S004,Global Parts Ltd,Tier 1,Air,Electronics,WH-East,2022-01-07,2022-01-21,2022-01-21,2022,1,Q1,Jan,14,0,1,106,106,0,0.0,116.46,12344.76,1
PO-00049,S010,Reliable Goods Co.,Tier 3,Road,Components,WH-South,2022-01-08,2022-01-27,2022-01-30,2022,1,Q1,Jan,19,3,0,540,463,77,14.26,60.55,32697.0,0
PO-00050,S006,PrimeParts Inc.,Tier 1,Sea,Spare Parts,WH-South,2022-01-08,2022-01-18,2022-01-25,2022,1,Q1,Jan,10,7,0,340,340,0,0.0,35.48,12063.2,1
PO-00051,S004,Global Parts Ltd,Tier 1,Air,Packaging,WH-West,2022-01-08,2022-01-29,2022-01-29,2022,1,Q1,Jan,21,0,1,1711,1711,0,0.0,304.09,520297.99,1
PO-00052,S009,Eastside Components,Tier 2,Sea,Raw Materials,WH-West,2022-01-09,2022-01-12,2022-01-12,2022,1,Q1,Jan,3,0,1,1115,1050,65,5.83,86.89,96882.35,0
PO-00053,S002,BlueStar Freight,Tier 1,Rail,Textiles,WH-North,2022-01-09,2022-01-20,2022-01-20,2022,1,Q1,Jan,11,0,1,1673,1673,0,0.0,234.36,392084.28,1
PO-00054,S004,Global Parts Ltd,Tier 1,Air,Packaging,WH-North,2022-01-09,2022-01-21,2022-01-21,2022,1,Q1,Jan,12,0,1,379,379,0,0.0,167.6,63520.4,1
PO-00055,S006,PrimeParts Inc.,Tier 1,Sea,Spare Parts,WH-Central,2022-01-09,2022-01-14,2022-01-14,2022,1,Q1,Jan,5,0,1,214,214,0,0.0,491.42,105163.88,1
PO-00056,S007,Swift Carriers,Tier 2,Road,Raw Materials,WH-North,2022-01-09,2022-01-21,2022-01-21,2022,1,Q1,Jan,12,0,1,910,847,63,6.92,358.03,325807.3,0
PO-00057,S006,PrimeParts Inc.,Tier 1,Sea,Finished Goods,WH-North,2022-01-10,2022-01-29,2022-01-29,2022,1,Q1,Jan,19,0,1,1143,1143,0,0.0,36.15,41319.45,1
PO-00058,S009,Eastside Components,Tier 2,Sea,Spare Parts,WH-Central,2022-01-10,2022-01-23,2022-01-23,2022,1,Q1,Jan,13,0,1,53,53,0,0.0,112.08,5940.24,1
PO-00059,S009,Eastside Components,Tier 2,Sea,Spare Parts,WH-Central,2022-01-10,2022-01-16,2022-01-27,2022,1,Q1,Jan,6,11,0,373,373,0,0.0,114.93,42868.89,1
PO-00060,S004,Global Parts Ltd,Tier 1,Air,Spare Parts,WH-East,2022-01-10,2022-01-27,2022-01-27,2022,1,Q1,Jan,17,0,1,1376,1376,0,0.0,426.68,587111.68,1
PO-00061,S002,BlueStar Freight,Tier 1,Rail,Textiles,WH-West,2022-01-10,2022-01-28,2022-01-28,2022,1,Q1,Jan,18,0,1,609,609,0,0.0,78.94,48074.46,1
PO-00062,S008,Northern Logistics,Tier 3,Rail,Spare Parts,WH-East,2022-01-10,2022-01-23,2022-01-23,2022,1,Q1,Jan,13,0,1,218,218,0,0.0,424.62,92567.16,1
PO-00063,S001,FastTrack Logistics,Tier 1,Road,Finished Goods,WH-South,2022-01-11,2022-01-28,2022-01-28,2022,1,Q1,Jan,17,0,1,1740,1740,0,0.0,480.48,836035.2,1
PO-00064,S009,Eastside Components,Tier 2,Sea,Raw Materials,WH-Central,2022-01-11,2022-01-23,2022-01-23,2022,1,Q1,Jan,12,0,1,1175,1175,0,0.0,132.12,155241.0,1
PO-00065,S010,Reliable Goods Co.,Tier 3,Road,Electronics,WH-West,2022-01-11,2022-01-17,2022-01-17,2022,1,Q1,Jan,6,0,1,496,496,0,0.0,188.04,93267.84,1
PO-00066,S010,Reliable Goods Co.,Tier 3,Road,Spare Parts,WH-Central,2022-01-11,2022-01-27,2022-02-02,2022,1,Q1,Jan,16,6,0,979,979,0,0.0,280.47,274580.13,1
PO-00067,S005,Metro Distributors,Tier 2,Road,Packaging,WH-Central,2022-01-11,2022-01-27,2022-01-27,2022,1,Q1,Jan,16,0,1,1508,1508,0,0.0,190.77,287681.16,1
PO-00068,S008,Northern Logistics,Tier 3,Rail,Textiles,WH-North,2022-01-11,2022-01-29,2022-01-29,2022,1,Q1,Jan,18,0,1,1305,1305,0,0.0,407.19,531382.95,1
PO-00069,S003,Apex Supply Co.,Tier 2,Road,Spare Parts,WH-East,2022-01-11,2022-01-15,2022-01-15,2022,1,Q1,Jan,4,0,1,1764,1764,0,0.0,263.2,464284.8,1
PO-00070,S001,FastTrack Logistics,Tier 1,Road,Components,WH-East,2022-01-11,2022-01-21,2022-01-30,2022,1,Q1,Jan,10,9,0,1878,1878,0,0.0,493.04,925929.12,1
PO-00071,S005,Metro Distributors,Tier 2,Road,Electronics,WH-East,2022-01-12,2022-01-31,2022-01-31,2022,1,Q1,Jan,19,0,1,335,335,0,0.0,432.53,144897.55,1
PO-00072,S010,Reliable Goods Co.,Tier 3,Road,Electronics,WH-Central,2022-01-12,2022-01-16,2022-01-21,2022,1,Q1,Jan,4,5,0,1697,1697,0,0.0,286.2,485681.4,1
PO-00073,S010,Reliable Goods Co.,Tier 3,Road,Spare Parts,WH-West,2022-01-12,2022-01-23,2022-01-28,2022,1,Q1,Jan,11,5,0,831,831,0,0.0,24.31,20201.61,1
PO-00074,S002,BlueStar Freight,Tier 1,Rail,Packaging,WH-East,2022-01-12,2022-01-31,2022-01-31,2022,1,Q1,Jan,19,0,1,1579,1579,0,0.0,285.35,450567.65,1
PO-00075,S001,FastTrack Logistics,Tier 1,Road,Components,WH-East,2022-01-12,2022-01-28,2022-01-28,2022,1,Q1,Jan,16,0,1,1804,1804,0,0.0,297.24,536220.96,1
PO-00076,S006,PrimeParts Inc.,Tier 1,Sea,Raw Materials,WH-South,2022-01-13,2022-01-31,2022-02-09,2022,1,Q1,Jan,18,9,0,834,834,0,0.0,238.01,198500.34,1
PO-00077,S007,Swift Carriers,Tier 2,Road,Spare Parts,WH-East,2022-01-13,2022-01-16,2022-01-16,2022,1,Q1,Jan,3,0,1,1481,1481,0,0.0,428.13,634060.53,1
PO-00078,S008,Northern Logistics,Tier 3,Rail,Electronics,WH-Central,2022-01-13,2022-01-17,2022-01-17,2022,1,Q1,Jan,4,0,1,1237,1237,0,0.0,475.06,587649.22,1
PO-00079,S004,Global Parts Ltd,Tier 1,Air,Textiles,WH-East,2022-01-13,2022-02-01,2022-02-01,2022,1,Q1,Jan,19,0,1,836,836,0,0.0,185.49,155069.64,1
PO-00080,S007,Swift Carriers,Tier 2,Road,Raw Materials,WH-West,2022-01-13,2022-01-23,2022-01-23,2022,1,Q1,Jan,10,0,1,750,750,0,0.0,136.34,102255.0,1
PO-00081,S009,Eastside Components,Tier 2,Sea,Finished Goods,WH-East,2022-01-14,2022-01-22,2022-01-22,2022,1,Q1,Jan,8,0,1,723,723,0,0.0,380.96,275434.08,1
PO-00082,S007,Swift Carriers,Tier 2,Road,Components,WH-Central,2022-01-14,2022-01-21,2022-01-21,2022,1,Q1,Jan,7,0,1,1568,1568,0,0.0,122.26,191703.68,1
PO-00083,S008,Northern Logistics,Tier 3,Rail,Components,WH-South,2022-01-14,2022-01-26,2022-01-26,2022,1,Q1,Jan,12,0,1,1720,1720,0,0.0,77.87,133936.4,1
PO-00084,S010,Reliable Goods Co.,Tier 3,Road,Raw Materials,WH-West,2022-01-14,2022-01-21,2022-01-28,2022,1,Q1,Jan,7,7,0,132,132,0,0.0,396.87,52386.84,1
PO-00085,S003,Apex Supply Co.,Tier 2,Road,Spare Parts,WH-North,2022-01-14,2022-01-27,2022-02-09,2022,1,Q1,Jan,13,13,0,991,991,0,0.0,333.86,330855.26,1
PO-00086,S007,Swift Carriers,Tier 2,Road,Chemicals,WH-North,2022-01-14,2022-01-29,2022-01-29,2022,1,Q1,Jan,15,0,1,1014,935,79,7.79,409.87,415608.18,0
PO-00087,S008,Northern Logistics,Tier 3,Rail,Textiles,WH-North,2022-01-15,2022-01-20,2022-01-20,2022,1,Q1,Jan,5,0,1,231,231,0,0.0,388.11,89653.41,1
PO-00088,S002,BlueStar Freight,Tier 1,Rail,Spare Parts,WH-North,2022-01-15,2022-01-30,2022-01-30,2022,1,Q1,Jan,15,0,1,804,804,0,0.0,458.73,368818.92,1
PO-00089,S001,FastTrack Logistics,Tier 1,Road,Textiles,WH-East,2022-01-15,2022-02-02,2022-02-02,2022,1,Q1,Jan,18,0,1,462,462,0,0.0,85.8,39639.6,1
PO-00090,S008,Northern Logistics,Tier 3,Rail,Spare Parts,WH-East,2022-01-15,2022-01-23,2022-02-02,2022,1,Q1,Jan,8,10,0,1162,1162,0,0.0,484.05,562466.1,1
PO-00091,S002,BlueStar Freight,Tier 1,Rail,Textiles,WH-East,2022-01-15,2022-01-31,2022-02-09,2022,1,Q1,Jan,16,9,0,217,217,0,0.0,16.52,3584.84,1
PO-00092,S001,FastTrack Logistics,Tier 1,Road,Packaging,WH-North,2022-01-16,2022-01-22,2022-01-22,2022,1,Q1,Jan,6,0,1,1453,1453,0,0.0,370.08,537726.24,1
PO-00093,S010,Reliable Goods Co.,Tier 3,Road,Spare Parts,WH-Central,2022-01-16,2022-01-26,2022-02-08,2022,1,Q1,Jan,10,13,0,1990,1990,0,0.0,181.01,360209.9,1
PO-00094,S007,Swift Carriers,Tier 2,Road,Textiles,WH-North,2022-01-16,2022-01-25,2022-01-25,2022,1,Q1,Jan,9,0,1,1803,1718,85,4.71,335.54,604978.62,0
PO-00095,S010,Reliable Goods Co.,Tier 3,Road,Components,WH-South,2022-01-17,2022-02-02,2022-02-08,2022,1,Q1,Jan,16,6,0,1992,1992,0,0.0,360.34,717797.28,1
PO-00096,S008,Northern Logistics,Tier 3,Rail,Packaging,WH-Central,2022-01-17,2022-02-02,2022-02-09,2022,1,Q1,Jan,16,7,0,1187,1187,0,0.0,53.31,63278.97,1
PO-00097,S007,Swift Carriers,Tier 2,Road,Spare Parts,WH-South,2022-01-17,2022-01-25,2022-01-25,2022,1,Q1,Jan,8,0,1,408,408,0,0.0,81.64,33309.12,1
PO-00098,S009,Eastside Components,Tier 2,Sea,Electronics,WH-North,2022-01-18,2022-02-08,2022-02-08,2022,1,Q1,Jan,21,0,1,292,292,0,0.0,409.88,119684.96,1
PO-00099,S010,Reliable Goods Co.,Tier 3,Road,Packaging,WH-South,2022-01-18,2022-01-31,2022-02-10,2022,1,Q1,Jan,13,10,0,1486,1486,0,0.0,287.23,426823.78,1
PO-00100,S009,Eastside Components,Tier 2,Sea,Electronics,WH-South,2022-01-18,2022-02-03,2022-02-08,2022,1,Q1,Jan,16,5,0,1003,1003,0,0.0,457.07,458441.21,1
PO-00101,S009,Eastside Components,Tier 2,Sea,Finished Goods,WH-Central,2022-01-18,2022-01-24,2022-01-24,2022,1,Q1,Jan,6,0,1,990,990,0,0.0,466.53,461864.7,1
PO-00102,S010,Reliable Goods Co.,Tier 3,Road,Components,WH-West,2022-01-18,2022-01-28,2022-01-29,2022,1,Q1,Jan,10,1,0,200,200,0,0.0,215.55,43110.0,1
PO-00103,S003,Apex Supply Co.,Tier 2,Road,Packaging,WH-East,2022-01-18,2022-02-07,2022-02-15,2022,1,Q1,Jan,20,8,0,868,868,0,0.0,323.81,281067.08,1
PO-00104,S010,Reliable Goods Co.,Tier 3,Road,Components,WH-West,2022-01-18,2022-01-30,2022-01-30,2022,1,Q1,Jan,12,0,1,1426,1426,0,0.0,266.44,379943.44,1
PO-00105,S009,Eastside Components,Tier 2,Sea,Components,WH-North,2022-01-19,2022-02-01,2022-02-04,2022,1,Q1,Jan,13,3,0,1702,1619,83,4.88,445.93,758972.86,0
PO-00106,S006,PrimeParts Inc.,Tier 1,Sea,Electronics,WH-West,2022-01-19,2022-02-01,2022-02-05,2022,1,Q1,Jan,13,4,0,1306,1306,0,0.0,496.76,648768.56,1
PO-00107,S003,Apex Supply Co.,Tier 2,Road,Textiles,WH-South,2022-01-19,2022-02-03,2022-02-03,2022,1,Q1,Jan,15,0,1,739,739,0,0.0,316.46,233863.94,1
PO-00108,S006,PrimeParts Inc.,Tier 1,Sea,Raw Materials,WH-South,2022-01-19,2022-02-09,2022-02-16,2022,1,Q1,Jan,21,7,0,1800,1800,0,0.0,371.11,667998.0,1
PO-00109,S003,Apex Supply Co.,Tier 2,Road,Textiles,WH-West,2022-01-19,2022-02-05,2022-02-05,2022,1,Q1,Jan,17,0,1,50,50,0,0.0,430.19,21509.5,1
PO-00110,S006,PrimeParts Inc.,Tier 1,Sea,Raw Materials,WH-South,2022-01-19,2022-02-01,2022-02-01,2022,1,Q1,Jan,13,0,1,1871,1871,0,0.0,51.67,96674.57,1
PO-00111,S003,Apex Supply Co.,Tier 2,Road,Textiles,WH-Central,2022-01-19,2022-01-30,2022-02-10,2022,1,Q1,Jan,11,11,0,147,147,0,0.0,353.39,51948.33,1
PO-00112,S009,Eastside Components,Tier 2,Sea,Chemicals,WH-South,2022-01-19,2022-02-05,2022-02-05,2022,1,Q1,Jan,17,0,1,1454,1454,0,0.0,470.42,683990.68,1
PO-00113,S008,Northern Logistics,Tier 3,Rail,Chemicals,WH-West,2022-01-20,2022-02-03,2022-02-03,2022,1,Q1,Jan,14,0,1,764,764,0,0.0,36.3,27733.2,1
PO-00114,S007,Swift Carriers,Tier 2,Road,Raw Materials,WH-Central,2022-01-20,2022-01-24,2022-01-24,2022,1,Q1,Jan,4,0,1,747,747,0,0.0,380.94,284562.18,1
PO-00115,S002,BlueStar Freight,Tier 1,Rail,Electronics,WH-West,2022-01-20,2022-01-30,2022-01-30,2022,1,Q1,Jan,10,0,1,1977,1977,0,0.0,316.94,626590.38,1
PO-00116,S009,Eastside Components,Tier 2,Sea,Finished Goods,WH-North,2022-01-20,2022-01-24,2022-01-24,2022,1,Q1,Jan,4,0,1,1013,1013,0,0.0,93.17,94381.21,1
PO-00117,S004,Global Parts Ltd,Tier 1,Air,Chemicals,WH-Central,2022-01-21,2022-02-02,2022-02-02,2022,1,Q1,Jan,12,0,1,1716,1716,0,0.0,352.17,604323.72,1
PO-00118,S005,Metro Distributors,Tier 2,Road,Raw Materials,WH-West,2022-01-21,2022-02-06,2022-02-08,2022,1,Q1,Jan,16,2,0,233,233,0,0.0,45.41,10580.53,1
PO-00119,S010,Reliable Goods Co.,Tier 3,Road,Textiles,WH-East,2022-01-21,2022-02-07,2022-02-09,2022,1,Q1,Jan,17,2,0,1481,1481,0,0.0,193.1,285981.1,1
PO-00120,S002,BlueStar Freight,Tier 1,Rail,Electronics,WH-North,2022-01-21,2022-01-29,2022-01-29,2022,1,Q1,Jan,8,0,1,1962,1962,0,0.0,99.07,194375.34,1
PO-00121,S003,Apex Supply Co.,Tier 2,Road,Packaging,WH-Central,2022-01-21,2022-01-27,2022-01-27,2022,1,Q1,Jan,6,0,1,1045,1045,0,0.0,24.2,25289.0,1
PO-00122,S007,Swift Carriers,Tier 2,Road,Electronics,WH-South,2022-01-21,2022-02-05,2022-02-05,2022,1,Q1,Jan,15,0,1,1692,1692,0,0.0,392.84,664685.28,1
PO-00123,S009,Eastside Components,Tier 2,Sea,Packaging,WH-West,2022-01-21,2022-01-27,2022-01-27,2022,1,Q1,Jan,6,0,1,1047,1047,0,0.0,248.86,260556.42,1
PO-00124,S005,Metro Distributors,Tier 2,Road,Chemicals,WH-West,2022-01-21,2022-02-03,2022-02-08,2022,1,Q1,Jan,13,5,0,411,411,0,0.0,474.88,195175.68,1
PO-00125,S010,Reliable Goods Co.,Tier 3,Road,Spare Parts,WH-South,2022-01-22,2022-02-06,2022-02-11,2022,1,Q1,Jan,15,5,0,1202,1202,0,0.0,372.08,447240.16,1
PO-00126,S007,Swift Carriers,Tier 2,Road,Packaging,WH-East,2022-01-22,2022-02-09,2022-02-10,2022,1,Q1,Jan,18,1,0,1181,1181,0,0.0,413.76,488650.56,1
PO-00127,S005,Metro Distributors,Tier 2,Road,Textiles,WH-East,2022-01-22,2022-02-04,2022-02-11,2022,1,Q1,Jan,13,7,0,1637,1637,0,0.0,226.0,369962.0,1
PO-00128,S007,Swift Carriers,Tier 2,Road,Textiles,WH-Central,2022-01-22,2022-02-03,2022-02-03,2022,1,Q1,Jan,12,0,1,1580,1580,0,0.0,353.1,557898.0,1
PO-00129,S007,Swift Carriers,Tier 2,Road,Packaging,WH-West,2022-01-23,2022-01-30,2022-01-30,2022,1,Q1,Jan,7,0,1,382,382,0,0.0,449.5,171709.0,1
PO-00130,S004,Global Parts Ltd,Tier 1,Air,Textiles,WH-Central,2022-01-23,2022-01-27,2022-01-27,2022,1,Q1,Jan,4,0,1,349,349,0,0.0,27.53,9607.97,1
PO-00131,S006,PrimeParts Inc.,Tier 1,Sea,Electronics,WH-North,2022-01-23,2022-02-04,2022-02-04,2022,1,Q1,Jan,12,0,1,1391,1391,0,0.0,363.7,505906.7,1
PO-00132,S004,Global Parts Ltd,Tier 1,Air,Components,WH-South,2022-01-23,2022-02-01,2022-02-01,2022,1,Q1,Jan,9,0,1,136,136,0,0.0,238.17,32391.12,1
PO-00133,S007,Swift Carriers,Tier 2,Road,Raw Materials,WH-North,2022-01-23,2022-01-31,2022-01-31,2022,1,Q1,Jan,8,0,1,1632,1632,0,0.0,168.49,274975.68,1
PO-00134,S006,PrimeParts Inc.,Tier 1,Sea,Packaging,WH-Central,2022-01-24,2022-02-04,2022-02-04,2022,1,Q1,Jan,11,0,1,574,574,0,0.0,126.36,72530.64,1
PO-00135,S010,Reliable Goods Co.,Tier 3,Road,Finished Goods,WH-North,2022-01-24,2022-02-14,2022-02-14,2022,1,Q1,Jan,21,0,1,963,963,0,0.0,226.99,218591.37,1
PO-00136,S003,Apex Supply Co.,Tier 2,Road,Chemicals,WH-Central,2022-01-24,2022-02-12,2022-02-12,2022,1,Q1,Jan,19,0,1,1090,1090,0,0.0,448.03,488352.7,1
